epoch,aa_acc,acc,kl_loss,loss,vae_loss,val_aa_acc,val_acc,val_kl_loss,val_loss,val_vae_loss,val_xent_loss,xent_loss
0,0.5730245054675185,0.7689722219044748,16.573734720271567,292.8209970844656,292.8209970844656,0.5636271859722576,0.7683504950041058,16.620409081996172,300.20996563790857,300.20996563790857,283.58955797217357,276.2472625024768
1,0.7064273869818536,0.8432899054582568,18.589157169729038,202.1556549337636,202.1556549337636,0.5957924538645251,0.7860552367122694,18.113055169993434,280.2431947554665,280.2431947554665,262.13014031771957,183.56649764351224
2,0.73976713868155,0.8612801437447036,19.118078156623287,180.69754000014154,180.69754000014154,0.6133005949272506,0.7959580533805934,18.37942446566176,269.3796401100597,269.3796401100597,251.00021492092088,161.57946156819662
3,0.7573622549789539,0.8708286535567131,19.454625757189763,169.25631566144418,169.25631566144418,0.6206844882033337,0.8003115019579043,18.409978410567362,264.54287628524605,264.54287628524605,246.13289780890804,149.80168982464335
4,0.7685557930365853,0.8768712262139804,19.678069231337396,162.0060209456734,162.0060209456734,0.6249298361526139,0.8030523624913446,18.46057463021114,262.37038654897407,262.37038654897407,243.9098116819886,142.32795135498046
5,0.7765680836249089,0.8811769326182379,19.93914004781972,156.9149712117513,156.9149712117513,0.6294339837699101,0.8050431044622399,19.684208775662828,263.39113204780665,263.39113204780665,243.70692282490347,136.97583143151326
6,0.7829095150767893,0.8845706524710725,20.1430776734283,152.91898046963456,152.91898046963456,0.6347001011344208,0.8077097300825448,19.234268872491246,259.95028398886495,259.95028398886495,240.71601495852417,132.7759032230101
7,0.7879307807701221,0.8872515090997668,20.348922513878865,149.76124886775364,149.76124886775364,0.6367090278658374,0.8094508298512163,20.524666757693236,259.97887983651,259.97887983651,239.45421244303387,129.4123262621009
8,0.7921360887306323,0.8895331626353057,20.506051600359488,147.16421179287676,147.16421179287676,0.6399361188384308,0.8103585957110613,20.67554151162334,260.178524394419,260.178524394419,239.50298307572288,126.65816019251727
9,0.7957830482634946,0.8914447967902474,20.60911105501479,144.9548434315557,144.9548434315557,0.6359522344052106,0.8081830700238546,20.801019795735677,261.3947697431192,261.3947697431192,240.59375017538838,124.34573251033174
10,0.7987785674178082,0.8930721621236939,20.756899556699008,143.0981276846623,143.0981276846623,0.6395093820560938,0.8108662603915423,19.949472230056237,259.67938088603404,259.67938088603404,239.72990873490258,122.3412281865659
11,0.8013414627572765,0.8944312099097431,20.848056439385896,141.49405634783315,141.49405634783315,0.6405567843338539,0.8106603223702004,20.144068325525044,258.68282042755476,258.68282042755476,238.53875209764502,120.64599989739017
12,0.803722908600517,0.8957072261450947,20.92363535231438,140.05531504313151,140.05531504313151,0.6406025990672495,0.8107632891885166,20.675145221578664,260.2985850016276,260.2985850016276,239.62344048160247,119.13167977595675
13,0.8055506250823753,0.8967035529924475,21.002722909899724,138.78502083598704,138.78502083598704,0.6380780746196878,0.8092580618529485,20.859177530222926,261.8050809312141,261.8050809312141,240.94590419023888,117.7822977701823
